skip
playerName,NFLTeam,draftOrder,byeWeek,price,position,fantasyPoints,ownerName,assessment
Nick Chubb,CLE,1,7,1,RB,102,Corn Bread,All Pro
Kerryon Johnson,DET,2,5,1,RB,79,Davids Revenge,Bench
Rashaad Penny,SEA,3,11,5,RB,52,En Vogue,Bench
Tre'Quan Smith,NO,4,9,1,WR,30,Diablos,Bench
Calvin Ridley,ATL,5,9,2,WR,65,Smack,All Pro
Josh Gordon,NE,6,10,10,WR,0,Smack,Bench
Harrison Butker,KC,9,12,4,K,108,Bud Light Man,Starter
Ben Roethlisberger,PIT,10,7,30,QB,210,Big Daddy,All Pro
Vikings,MIN,11,12,10,DST,95,Gunslingers,All Pro
Patrick Mahomes,KC,12,12,72,QB,277,SKOL,Elite
Drew Brees,NO,13,9,50,QB,213,Smokey,All Pro
Ravens,BAL,14,8,8,DST,81,SKOL,Bench
Joe Mixon,CIN,15,9,39,RB,93,Mr. Suck It.,Starter
Aaron Rodgers,GB,16,11,50,QB,203,Bud Light Man,Starter
Kyler Murray,ARI,17,12,20,QB,197,Mr. Suck It.,Bench
Ka'imi Fairbairn,HOU,18,10,3,K,107,Davids Revenge,Starter
Justin Tucker,BAL,19,8,13,K,127,Bud Heavy,Elite
Le'Veon Bell,NYJ,20,4,58,RB,94,Bud Heavy,Starter
Dak Prescott,DAL,21,8,10,QB,189,Mr. Suck It.,Bench
Julian Edelman,NE,22,10,34,WR,57,Big Daddy,Starter
Saquon Barkley,NYG,23,11,88,RB,117,Diablos,Elite
Odell Beckham,CLE,24,7,46,WR,75,Gunslingers,All Pro
Todd Gurley,LAR,25,9,42,RB,86,Corn Bread,Starter
Baker Mayfield,CLE,26,7,52,QB,200,Corn Bread,Starter
DeAndre Hopkins,HOU,27,10,67,WR,95,Big Daddy,All Pro
Deshaun Watson,HOU,28,10,42,QB,206,Smack,Starter
Alvin Kamara,NO,29,9,83,RB,114,Diablos,All Pro
Antonio Brown,OAK,29,6,63,WR,75,Smokey,All Pro
Ezekiel Elliott,DAL,30,8,63,RB,104,SKOL,All Pro
Matt Ryan,ATL,30,9,33,QB,205,Davids Revenge,Starter
Julio Jones,ATL,31,9,47,WR,89,Davids Revenge,All Pro
Greg Zuerlein,LAR,32,9,20,K,127,Corn Bread,Elite
Cooper Kupp,LAR,33,9,15,WR,69,Gunslingers,All Pro
Courtland Sutton,DEN,34,10,1,WR,37,Big Daddy,Bench
Damien Williams,KC,35,12,62,RB,92,En Vogue,Starter
Christian McCaffrey,CAR,36,7,59,RB,94,Smack,Starter
Aaron Jones,GB,37,11,59,RB,93,Gunslingers,Starter
David Johnson,ARI,38,12,65,RB,85,Smokey,Starter
Cam Newton,CAR,39,7,35,QB,210,Gunslingers,All Pro
Andrew Luck,IND,40,6,27,QB,215,Corn Bread,All Pro
Dalvin Cook,MIN,41,12,54,RB,76,Bud Light Man,Bench
N'Keal Harry,NE,42,10,6,WR,27,Gunslingers,Bench
Bills,BUF,43,6,3,DST,90,Davids Revenge,All Pro
Davante Adams,GB,44,11,63,WR,93,Mr. Suck It.,All Pro
Tyler Lockett,SEA,45,11,11,WR,54,Mr. Suck It.,Starter
Leonard Fournette,JAC,46,10,49,RB,85,Bud Heavy,Starter
Mike Evans,TB,47,7,39,WR,60,Davids Revenge,Starter
